,0,Membership_No,Address,Contact_Nos,E_mail,Web,Year_Of_Joining,Memb_No_Year_Stripped,Member_City,lattitude_longitude,lattitude,longitude,country_code
168,"Membership No : 001/1992  Building Technology & Ideas Ltd.  Details  bti Celebration Point, Road # 113/A, Plot # 3 & 5, Gulshan, Dhaka Phone: 88-02-9843477 Fax: 88-02-58812672  E-mail: info@btibd.org Web: http://www.btibd.com",001/1992,"001/1992  Building Technology & Ideas Ltd.  Details  bti Celebration Point, Road # 113/A, Plot # 3 & 5, Gulshan, Dhaka",88-02-9843477 Fax: 88-02-58812672 ,info@btibd.org ,http://www.btibd.com,1992.0,1.0,Dhaka,"(None, None)",23.7924961,90.40780579999999,bd
201,"Membership No : 003/1992  Concord Condominium Ltd.  Details  Concord Centre (2nd Floor), 43, North C/A, Gulshan-02, Dhaka-1212 Phone: 88-02-9849139 Fax: 88-02-9843552  E-mail: kamal.shariar@concordgroup.net Web: http://www.concordgroup.net",003/1992,"003/1992  Concord Condominium Ltd.  Details  Concord Centre (2nd Floor), 43, North C/A, Gulshan-02, Dhaka-1212",88-02-9849139 Fax: 88-02-9843552 ,kamal.shariar@concordgroup.net ,http://www.concordgroup.net,1992.0,3.0,Dhaka,"(23.7981301, 90.4038017)",23.7981301,90.4038017,bd
347,"Membership No : 004/1992  Hamid Real Estate Construction Ltd.  Details  Priyo Prangon Tower, Plot # 19, Road # 17, Banani, Dhaka-1213 Phone: 88-02-9821900,88-02-222275900,88-02-9871771 Fax: 880-2-9822165  E-mail: priyoprangon@hamidgroup.com,ekhamid@hamidgroup.com Web: http://www.hamidgroup.com",004/1992,"004/1992  Hamid Real Estate Construction Ltd.  Details  Priyo Prangon Tower, Plot # 19, Road # 17, Banani, Dhaka-1213","88-02-9821900,88-02-222275900,88-02-9871771 Fax: 880-2-9822165 ","priyoprangon@hamidgroup.com,ekhamid@hamidgroup.com ",http://www.hamidgroup.com,1992.0,4.0,Dhaka,"(23.7933197, 90.4039222)",23.7933197,90.4039222,bd
618,"Membership No : 007/1992  Property Development Ltd.  Details  Pran-RFL Centre, 105/1, GA, Moddha Badda, Progati Sarani, Badda, Gulshan, Dhaka-1212 Phone: 88-02-9881792,9883746 Fax: 88-02-8837464  E-mail: crn@prangroup.com,pdlsales@prangroup.com Web: http://www.pranfoods.net",007/1992,"007/1992  Property Development Ltd.  Details  Pran-RFL Centre, 105/1, GA, Moddha Badda, Progati Sarani, Badda, Gulshan, Dhaka-1212","88-02-9881792,9883746 Fax: 88-02-8837464 ","crn@prangroup.com,pdlsales@prangroup.com ",http://www.pranfoods.net,1992.0,7.0,Dhaka,"(23.8048929, 90.4221031)",23.8048929,90.4221031,bd
734,"Membership No : 008/1992  Sheltech (Pvt.) Ltd.  Details  Sheltech Tower : 60, Sheikh Russel Square(New) 55, Bir Uttam Qazi Nuruzzaman Road, (West Pantapath), Dhaka-1205 Phone: 880-2-9143333-8 Fax: 880-2-9143332  E-mail: sheltech@citechco.net Web: http://www.sheltech-bd.com",008/1992,"008/1992  Sheltech (Pvt.) Ltd.  Details  Sheltech Tower : 60, Sheikh Russel Square(New) 55, Bir Uttam Qazi Nuruzzaman Road, (West Pantapath), Dhaka-1205",880-2-9143333-8 Fax: 880-2-9143332 ,sheltech@citechco.net ,http://www.sheltech-bd.com,1992.0,8.0,Dhaka,"(23.7522549, 90.3809643)",23.7522549,90.3809643,bd
266,"Membership No : 010/1992  Eastern Housing Ltd.  Details  125/A, Motijheel C/A, Dhaka-1000. & 59/B, Kemal Ataturk Avenue, Banani, Dhaka-1213 Phone: 880-2-9566303-5 Fax: 880-2-9566311  E-mail: info@easternhousing.com,ig@easternhousing.com Web: http://www.easternhousing.com",010/1992,"010/1992  Eastern Housing Ltd.  Details  125/A, Motijheel C/A, Dhaka-1000. & 59/B, Kemal Ataturk Avenue, Banani, Dhaka-1213",880-2-9566303-5 Fax: 880-2-9566311 ,"info@easternhousing.com,ig@easternhousing.com ",http://www.easternhousing.com,1992.0,10.0,Dhaka,"(23.7329724, 90.417231)",23.7941483,90.4052832,bd
265,"Membership No : 011/1992  East West Property Development (Pvt.) Ltd.  Details  Plot-125/A (Level-01), Block-A,Road-2,Bashundhara R/A Dhaka-1229 Phone: 88-02-8431226 Fax: 880-2-8431495  E-mail: ewpd@bg.com.bd Web: http://www.bashundharagroup.com",011/1992,"011/1992  East West Property Development (Pvt.) Ltd.  Details  Plot-125/A (Level-01), Block-A,Road-2,Bashundhara R/A Dhaka-1229",88-02-8431226 Fax: 880-2-8431495 ,ewpd@bg.com.bd ,http://www.bashundharagroup.com,1992.0,11.0,Dhaka,"(23.7499269, 90.3921797)",23.8172748,90.429976,bd
579,"Membership No : 020/1995  Oriental Real Estate Ltd.  Details  House # 15, Road # 4, Dhanmondi R/A, Dhaka Phone: 880-2-8629906-7 Fax: 880-2-9663383  E-mail: info@orientalgroupbd.com Web: http://www.orientalgroupbd.com",020/1995,"020/1995  Oriental Real Estate Ltd.  Details  House # 15, Road # 4, Dhanmondi R/A, Dhaka",880-2-8629906-7 Fax: 880-2-9663383 ,info@orientalgroupbd.com ,http://www.orientalgroupbd.com,1995.0,20.0,Dhaka,"(23.7412402, 90.3814369)",23.7412402,90.3814369,bd
445,"Membership No : 021/1995  Latif Real Estate Ltd.  Details  House # 114, Road # 12, Block # E, Banani, Dhaka-1213 Phone: 880-2-8836067 Fax: 880-2-8836265  E-mail: lrel@bot.com Web: http://www.lrel-bd.com",021/1995,"021/1995  Latif Real Estate Ltd.  Details  House # 114, Road # 12, Block # E, Banani, Dhaka-1213",880-2-8836067 Fax: 880-2-8836265 ,lrel@bot.com ,http://www.lrel-bd.com,1995.0,21.0,Dhaka,"(23.8008892, 90.35204999999999)",23.8008892,90.35204999999999,bd
30,"Membership No : 022/1995  Agrani Apartment Ltd.  Details  Elephant Way # D 1104/1, KA, Bara Moghbazar, Dhaka. Phone: 880-2-8315645,8322687 Fax: 880-2-8322634  E-mail: agrani_apartment@yahoo.com Web: http://www.agrani_bd.com",022/1995,"022/1995  Agrani Apartment Ltd.  Details  Elephant Way # D 1104/1, KA, Bara Moghbazar, Dhaka.","880-2-8315645,8322687 Fax: 880-2-8322634 ",agrani_apartment@yahoo.com ,http://www.agrani_bd.com,1995.0,22.0,Dhaka,"(23.7485384, 90.4109534)",23.7485384,90.4109534,bd
128,"Membership No : 023/1995  Bashati Consortium Ltd.  Details  Alpana Plaza, (6th Floor), 51, New Elephant Road, Dhaka-1205 Phone: 880-2-9661333,58610970 Fax: 880-2-8614410  E-mail: bashati@gmail.com Web: http://www.bashati.net",023/1995,"023/1995  Bashati Consortium Ltd.  Details  Alpana Plaza, (6th Floor), 51, New Elephant Road, Dhaka-1205","880-2-9661333,58610970 Fax: 880-2-8614410 ",bashati@gmail.com ,http://www.bashati.net,1995.0,23.0,Dhaka,"(23.7385943, 90.384385)",23.7385943,90.384385,bd
135,"Membership No : 024/1995  Bay Developments Ltd.  Details  Bays Edgewater (9th & 10th Floor), NE(N) 12, North Avenue, Gulshan-2, Dhaka-1212  Phone: 88-02-55051803,55051804 Fax: 880-2-55051805  E-mail: bay@baydevelopments.com Web: http://www.baydevelopments.com",024/1995,"024/1995  Bay Developments Ltd.  Details  Bays Edgewater (9th & 10th Floor), NE(N) 12, North Avenue, Gulshan-2, Dhaka-1212 ","88-02-55051803,55051804 Fax: 880-2-55051805 ",bay@baydevelopments.com ,http://www.baydevelopments.com,1995.0,24.0,Dhaka,"(23.7961166, 90.4176377)",23.7961166,90.4176377,bd
788,"Membership No : 026/1996  Suvastu Development Limited  Details  65 Suvastu Imam Square (58th Floor), Gulshan Avenue, Dhaka-1212 Phone: 88-02-985561,9841793 Fax: 880-2-9855342  E-mail: info@suvastu.com.bd Web: http://www.suvastu.com.bd",026/1996,"026/1996  Suvastu Development Limited  Details  65 Suvastu Imam Square (58th Floor), Gulshan Avenue, Dhaka-1212","88-02-985561,9841793 Fax: 880-2-9855342 ",info@suvastu.com.bd ,http://www.suvastu.com.bd,1996.0,26.0,Dhaka,"(23.7834555, 90.4165682)",23.7834555,90.4165682,bd
650,"Membership No : 028/1996  Realta Homes and Apartments Ltd.  Details  3, Holy lane, Shyamoly, Dhaka-1207 Phone: 88-02-48120641,88-02-48112415,88-02-48117773",028/1996,"028/1996  Realta Homes and Apartments Ltd.  Details  3, Holy lane, Shyamoly, Dhaka-1207",,,,1996.0,28.0,Dhaka,"(23.7749443, 90.3639668)",23.7749443,90.3639668,bd
